City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,somerset,40.5668,-74.5496,13.03,90,100,1.54,US,1698627021
310,fort scott,37.8398,-94.7083,3.54,83,100,6.43,US,1698627046
311,bansdih,25.8833,84.2167,20.45,60,6,0.89,IN,1698627046
312,ivdel',60.6911,60.4206,-3.78,65,100,4.02,RU,1698627046
313,floriano,-6.7669,-43.0225,27.58,32,8,2.22,BR,1698627046
314,polatli,39.5772,32.1413,15.65,61,100,2.13,TR,1698627046
315,general acha,-37.377,-64.6043,11.74,59,100,6.91,AR,1698627047
316,mata-utu,-13.2816,-176.1745,28.21,74,76,1.3,WF,1698627047
317,kalmunai,7.4167,81.8167,25.29,84,68,1.77,LK,1698627047
318,remire-montjoly,4.9167,-52.2667,27.02,89,0,2.06,GF,1698627047
319,port mathurin,-19.6833,63.4167,24.05,83,40,2.06,MU,1698627047
320,luis gil perez,17.8667,-93.05,27.73,81,47,2.17,MX,1698627047
321,fegyvernek,47.2667,20.5333,14.01,59,38,5.3,HU,1698627047
322,nieuw amsterdam,5.8833,-55.0833,28.34,83,85,5.29,SR,1698627048
323,touros,-5.1989,-35.4608,25.24,75,14,6.32,BR,1698627048
324,melioratorov,57.2107,65.6077,-3.79,100,100,6.0,RU,1698627048
325,nova sintra,14.8667,-24.7167,22.75,71,82,3.23,CV,1698627048
326,mansa,29.9833,75.3833,19.66,44,5,2.1,IN,1698627048
327,delacombe,-37.5891,143.8147,15.97,61,20,3.58,AU,1698627048
328,dabakala,8.3667,-4.4333,25.2,72,0,0.71,CI,1698627048
329,kerikeri,-35.2268,173.9474,18.84,93,100,0.89,NZ,1698627043
330,krasnovishersk,60.4078,57.082,-4.43,67,100,3.32,RU,1698627049
331,ob',54.9872,82.7166,-8.01,86,0,2.0,RU,1698627049
332,tadine,-21.55,167.8833,22.64,55,0,5.52,NC,1698627049
333,jamestown,42.097,-79.2353,8.9,97,100,0.89,US,1698627049
334,kaiapoi,-43.3783,172.6401,18.17,72,100,8.23,NZ,1698627049
335,akureyri,65.6835,-18.0878,-7.04,93,0,0.0,IS,1698627049
336,karratha,-20.7377,116.8463,34.5,21,48,2.39,AU,1698627050
337,ivnya,51.0629,36.1343,5.29,90,48,1.98,RU,1698627050
338,lompoc,34.6391,-120.4579,22.08,34,0,3.6,US,1698627050
339,cururupu,-1.8283,-44.8683,24.34,84,19,1.95,BR,1698627032
340,ma'rib,15.4591,45.3253,24.65,47,52,1.9,YE,1698627050
341,vorkuta,67.5,64.0,-18.91,99,43,1.78,RU,1698627050
342,samus',56.7475,84.6992,-9.26,89,10,2.06,RU,1698627050
343,anjangaon,21.1631,77.3094,19.45,61,75,1.62,IN,1698627050
344,ridgecrest,35.6225,-117.6709,17.05,12,0,3.58,US,1698627051
345,south bay,26.664,-80.7162,25.01,76,5,4.66,US,1698627051
